name,address,category,monthly_price,notes,lat,lng
Orangetheory Fitness,"8121 Wedgewood Ln N, Maple Grove, MN 55369",Trainer,69,4 classes monthly,45.108847371525414, -93.45022201648513
Orangetheory Fitness,"2700 Annapolis Cir N Suite A, Plymouth, MN 55441",Trainer,69,4 classes monthly,45.01441099599633, -93.452267428237
Orangetheory Fitness,"411 N Washington Ave #250, Minneapolis, MN 55401",Trainer,69,4 classes monthly,44.991349400134226, -93.27373959654074
Orangetheory Fitness,"5602 Cedar Lk Rd S, St Louis Park, MN 55416",Trainer,69,4 classes monthly,44.96825936391353, -93.35117340197073
Orangetheory Fitness,"3523 W 70th St, Edina, MN 55435",Trainer,69,4 classes monthly,44.88026206012141, -93.3267974860511
Orangetheory Fitness,"1635 E 66th St, Richfield, MN 55423",Trainer,69,4 classes monthly,44.88585705899236, -93.2505798352348
Orangetheory Fitness,"12617 Riverdale Blvd, Coon Rapids, MN 55448",Trainer,69,4 classes monthly,45.21131049894084, -93.3511734030725
Orangetheory Fitness,"9774 Schreiber Terrace, Brooklyn Park, MN 55445",Trainer,69,4 classes monthly,45.14112527674345, -93.35941314835738
Orangetheory Fitness,"460 Lake Dr E #170, Chanhassen, MN 55317",Trainer,69,4 classes monthly,44.86694353147716, -93.53468502307247
Orangetheory Fitness,"1008 County Rd 42 W, Burnsville, MN 55337",Trainer,69,4 classes monthly,44.76639416355547, -93.29344378986755
Orangetheory Fitness,"15624 Pilot Knob Rd, Apple Valley, MN 55124",Trainer,69,4 classes monthly,44.74531962877124, -93.18386457783323
Orangetheory Fitness,"3325 Central Park Commons Dr #120, Eagan, MN 55121",Trainer,69,4 classes monthly,44.85223387517757, -93.17815732725116
Orangetheory Fitness,"850 Grand Ave, St Paul, MN 55105",Trainer,69,4 classes monthly,44.94754837610525, -93.13366241260712
Orangetheory Fitness,"2195 Snelling Ave N, Roseville, MN 55113",Trainer,69,4 classes monthly,45.013117638228074, -93.17005462425817
Orangetheory Fitness,"530 Woodbury Dr #300, Woodbury, MN 55125",Trainer,69,4 classes monthly,44.95259220350759, -92.90853615666813
Orangetheory Fitness,"3095 White Bear Ave, Maplewood, MN 55109",Trainer,69,4 classes monthly,45.049083233448755, -93.01370671196165

F45,"3900 Vinewood Ln N Ste 11, Plymouth, MN 55441",Trainer,189,monthly unlimited,45.03010483739359, -93.44807624926325
F45,"3440 Beltline Blvd, St Louis Park, MN 55416",Trainer,195,monthly unlimited,44.94608835945621, -93.33974146736038
F45,"5445 Lyndale Ave S, Minneapolis, MN 55419",Trainer,,,44.90743928403369, -93.28892969980204

F45,"9408 Dunkirk Ln N, Maple Grove, MN 55311",Trainer,,,45.14185177326857, -93.4963989301486
F45,"3428 County Rd 101, Wayzata, MN 55391",Trainer,,,44.957510018861896, -93.50326538428378
F45,"7705 Egan Dr, Savage, MN 55378",Trainer,,,44.753072644925524, -93.37692261021105
F45,"2139 Cliff Rd, Eagan, MN 55122",Trainer,,,44.812531625059826, -93.22860718159552
F45,"7751 Amana Trail Suite 100, Inver Grove Heights, MN 55077",Trainer,,,44.843375373548106, -93.08620532897605
F45,"650 Commerce Dr #120, Woodbury, MN 55125",Trainer,,,44.95353079344963, -92.91315284163697

